date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:10	88327/88327	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2015:07:10%20GMT	https://danfoss-drives.com.ua/	D:/testProject/danfoss-drives.com.ua/index.html	(from )
17:07:10	264/264	---MCZ	200	added ('OK')	text/plain	etag:W/%225eb2c725-243%22	https://danfoss-drives.com.ua/robots.txt		(from )
17:07:10	88161/88161	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2015:07:10%20GMT	https://danfoss-drives.com.ua/ru	D:/testProject/danfoss-drives.com.ua/ru.html	(from https://danfoss-drives.com.ua/)
17:07:10	4205/4205	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2015:07:10%20GMT	https://danfoss-drives.com.ua/wp-content/themes/technosence/logo_small.png	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/logo_small.png	(from https://danfoss-drives.com.ua/)
17:07:11	2468/2468	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225eb02c2b-9a4%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/favicons.ico	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/favicons.ico	(from https://danfoss-drives.com.ua/)
17:07:11	271606/271606	---MCZ	200	added ('OK')	text/css	etag:W/%225ed137f1-424f6%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css	(from https://danfoss-drives.com.ua/)
17:07:11	38/38	---M--	200	added ('OK')	text/css	etag:%225eb02c82-26%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style_ie.css	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/css/style_ie.css	(from https://danfoss-drives.com.ua/)
17:07:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2005%20Dec%202022%2015:07:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/testProject/www.googletagmanager.com/gtm.55445.delayed	(from https://danfoss-drives.com.ua/)
17:07:12	1136/1136	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8c-470%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/viber-mobile.png	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/images/viber-mobile.png	(from https://danfoss-drives.com.ua/)
17:07:12	1065/1065	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8c-429%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram-mobile.png	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram-mobile.png	(from https://danfoss-drives.com.ua/)
17:07:12	15853/15853	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8d-3ded%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/viber.png	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/images/viber.png	(from https://danfoss-drives.com.ua/)
17:07:12	1130/1130	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8c-46a%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram.png	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram.png	(from https://danfoss-drives.com.ua/)
17:07:13	274774/274774	---MCZ	200	added ('OK')	text/html	etag:W/%225eb02c92-43156%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/shape/pdf.html	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/shape/pdf.html	(from https://danfoss-drives.com.ua/)
17:07:13	379/379	---M--	200	added ('OK')	image/gif	etag:%225eb02c82-17b%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fancybox/ajax-loader.gif	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/fancybox/ajax-loader.gif	(from https://danfoss-drives.com.ua/)
17:07:13	13442/13442	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8a-3482%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/polo_pod_sl.png	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/images/polo_pod_sl.png	(from https://danfoss-drives.com.ua/)
17:07:13	36828/36828	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225eb02c77-8fdc%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_2_img_1.jpg	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_2_img_1.jpg	(from https://danfoss-drives.com.ua/)
17:07:14	64448/64448	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225eb02c75-fbc0%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_1_img_1.jpg	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_1_img_1.jpg	(from https://danfoss-drives.com.ua/)
17:07:14	94866/94866	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225eb02c75-17292%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_3_img_1.jpg	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/services_sl_3_img_1.jpg	(from https://danfoss-drives.com.ua/)
17:07:14	43149/43149	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c77-a88d%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/dozvil2.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/dozvil2.png	(from https://danfoss-drives.com.ua/)
17:07:14	234373/234373	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c73-39385%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/why_slider_1.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/why_slider_1.png	(from https://danfoss-drives.com.ua/)
17:07:15	109020/109020	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c74-1a9dc%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/deklaratsyia2.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/deklaratsyia2.png	(from https://danfoss-drives.com.ua/)
17:07:15	15775/15775	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c74-3d9f%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_8.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_8.png	(from https://danfoss-drives.com.ua/)
17:07:15	22443/22443	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c73-57ab%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_7.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_7.png	(from https://danfoss-drives.com.ua/)
17:07:15	21313/21313	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c7b-5341%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_6.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_6.png	(from https://danfoss-drives.com.ua/)
17:07:15	18487/18487	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c79-4837%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_5.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_5.png	(from https://danfoss-drives.com.ua/)
17:07:16	11569/11569	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225eb02c78-2d31%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_4.jpg	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_4.jpg	(from https://danfoss-drives.com.ua/)
17:07:16	24463/24463	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c79-5f8f%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_3.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_3.png	(from https://danfoss-drives.com.ua/)
17:07:16	35647/35647	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c77-8b3f%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_2.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_2.png	(from https://danfoss-drives.com.ua/)
17:07:16	15479/15479	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c79-3c77%22	https://danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_1.png	D:/testProject/danfoss-drives.com.ua/wp-content/uploads/2020/04/clients_1.png	(from https://danfoss-drives.com.ua/)
17:07:17	35235/35235	---MCZ	200	added ('OK')	image/png	etag:W/%225ed11eae-89a3%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/technical_img.png	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/images/technical_img.png	(from https://danfoss-drives.com.ua/)
17:07:17	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	D:/testProject/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://danfoss-drives.com.ua/)
17:07:17	4263/4263	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eb02c8e-10a7%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/libs/jquery.maskedinput.min.js	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/libs/jquery.maskedinput.min.js	(from https://danfoss-drives.com.ua/)
17:07:17	291/291	---M--	200	added ('OK')	application/javascript	etag:%225eb02c8e-123%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/libs/menu.js	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/libs/menu.js	(from https://danfoss-drives.com.ua/)
17:07:18	28112/28112	---MCZ	200	added ('OK')	application/javascript	etag:W/%225eb02c8e-6dd0%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/libs/main.js	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/libs/main.js	(from https://danfoss-drives.com.ua/)
17:07:18	46268/46268	---M--	200	added ('OK')	application/octet-stream	etag:%225eb02c83-b4bc%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProLight.ttf	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProLight.ttf	(from https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css)
17:07:18	21451/21451	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225eb02c83-53cb%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProLight.eot	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProLight.eot	(from https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css)
17:07:18	40464/40464	---M--	200	added ('OK')	application/octet-stream	etag:%225eb02c85-9e10%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProRegular.ttf	D:/testProject/danfoss-drives.com.ua/wp-content/themes/technosence/fonts/GothamProRegular.ttf	(from https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css)
